"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000000450","SWE_2022","Sweden",1.073,33,1,7,1,1,1,1,2,3,1,752,0,1,2,2,3,1,3,1,1,1,4,3,5,5,2,7,2,3,2,1,2,2,2,2,2,3,1,752001,1,1,2,1,1,752004,4,10,1,1,9,5,0,10,5,10,0,0,5,7,0,6,5,99,99,99,99,99,99,99,99,99,2,1,1,3,3,2,1,3,1
"0000000448","SWE_2022","Sweden",0.9037,42,1,5,1,1,5,2,1,2,2,752,0,6,1,3,3,7,7,3,2,2,2,2,3,2,2,6,2,2,2,1,3,2,2,2,2,3,1,752003,0,2,2,2,1,752001,4,8,5,9,3,4,7,5,4,6,3,8,3,4,6,4,3,5,5,5,5,5,5,5,5,6,2,0,9,2,2,2,2,2,1
"0000000447","SWE_2022","Sweden",1.073,30,1,7,4,1,5,9,1,1,1,752,1,12,2,3,0,0,6,4,1,1,1,4,2,3,1,7,4,3,4,2,3,2,3,3,4,5,1,752006,0,2,4,2,1,999999,1,5,7,6,9,9,6,10,6,5,5,7,9,9,5,5,5,7,8,7,1,3,7,5,5,3,4,0,2,3,4,4,4,5,1
"0000000443","SWE_2022","Sweden",1.275,30,0,5,4,1,1,2,1,1,2,752,0,24,2,1,0,7,7,2,1,1,5,5,5,3,1,7,3,3,2,1,3,2,4,3,2,4,1,752004,0,1,2,1,1,752004,5,3,0,1,7,2,1,5,2,5,0,0,7,2,1,5,1,5,10,10,2,6,9,5,7,0,2,0,2,4,3,2,3,3,1
"0000001075","SWE_2022","Sweden",0.7489,68,1,3,1,0,3,1,2,5,1,752,1,14,2,3,4,4,0,3,1,1,4,3,1,1,5,10,2,2,2,2,3,3,4,3,3,4,1,752003,0,2,2,2,1,752005,4,3,3,9,3,5,3,3,3,1,3,8,2,2,3,1,2,2,7,8,0,4,9,1,7,7,2,0,9,2,2,3,3,3,0
"0000000435","SWE_2022","Sweden",0.9037,51,1,6,4,0,2,1,2,1,3,752,0,1,3,2,5,0,0,2,1,1,5,5,5,5,3,9,2,3,2,2,3,2,4,3,3,4,1,752003,0,2,4,1,1,752008,5,1,7,7,1,4,7,4,5,3,5,8,2,4,5,5,5,1,7,8,0,3,7,3,4,7,2,0,9,1,9,3,3,3,1
"0000002352","SWE_2022","Sweden",0.5283,66,0,7,1,1,7,1,1,5,2,752,1,1,2,1,7,3,0,1,1,1,5,3,5,5,4,8,2,2,3,2,2,1,3,2,2,5,1,999999,999999,9,1,2,1,752003,4,7,2,9,6,8,7,2,8,9,2,9,3,9,8,2,8,3,10,9,2,7,7,2,7,8,2,0,9,2,2,2,2,3,8
"0000000278","SWE_2022","Sweden",1.073,31,1,99,4,9,99,9,9,9,9,752,0,20,9,2,0,7,99,2,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,9,9,9,99,999999,999999,9,9,9,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000002706","SWE_2022","Sweden",2.2763,18,0,3,4,0,6,9,9,1,1,752,1,12,2,3,0,2,7,4,1,1,5,1,3,5,1,8,1,1,3,1,2,2,2,2,1,5,1,999999,999999,9,2,2,0,999999,3,5,5,6,2,4,5,5,9,8,5,10,3,5,10,1,10,2,10,8,0,4,6,4,7,6,2,1,2,3,1,3,2,3,0
"0000001967","SWE_2022","Sweden",0.5247,81,1,3,1,1,7,9,1,3,3,752,0,3,2,2,7,0,0,1,1,2,2,5,5,5,1,10,2,1,3,2,2,2,4,2,3,4,1,752003,0,1,1,1,1,752006,4,6,10,9,0,6,6,0,6,8,9,9,0,0,8,0,10,1,10,10,0,2,6,0,6,8,2,1,2,3,1,4,3,4,0
